ORDER_BRAND_NAME,MAX_BUDGET,REACH_MAX_TIMESTAMP
Blueland,6000.00,2024-03-09T18:45:53Z
Dreamland Baby,2500.00,2024-03-17T16:29:27Z
HATCH,2000.00,2024-03-30T03:44:35Z
Kopari,5000.00,2024-03-15T20:37:07Z
LIVELY,4000.00,2024-03-29T15:43:37Z
Lunya,3500.00,2024-03-21T15:32:35Z
Snuggle Me Organic,1500.00,2024-03-17T15:35:58Z
Sol de Janeiro,7250.00,2024-03-10T14:22:44Z
Surely Wines,200.00,2024-03-31T03:24:35Z
True Botanicals,500.00,2024-03-02T22:05:46Z
Tubby Todd Bath Co.,5000.00,2024-03-16T19:05:42Z
vitruvi,1000.00,2024-03-27T16:21:13Z
