maxed_budget_brand,other_brand,other_brand_rank,other_brand_count
Blueland,Liquid I.V.,1.0,1395
Blueland,Dropps,2.0,1262
Blueland,Caraway,3.0,1254
Blueland,For Days,4.0,1054
Blueland,Laura Geller,5.0,837
Blueland,BlendJet,6.0,834
Blueland,Kopari,7.0,733
Blueland,Vegamour,8.0,493
Blueland,ILIA,9.0,487
Blueland,Viori Beauty,10.0,419
Dreamland Baby,Caden Lane,1.0,34769
Dreamland Baby,Snuggle Me Organic,2.0,15425
Dreamland Baby,Tubby Todd Bath Co.,3.0,12002
Dreamland Baby,Moonglow,4.0,8093
Dreamland Baby,Sol de Janeiro,5.0,3139
Dreamland Baby,Willow Pumps,6.0,2960
Dreamland Baby,Laura Geller,7.0,2862
Dreamland Baby,Explorer Cold Brew,8.0,2622
Dreamland Baby,Tushbaby,9.0,2579
Dreamland Baby,Nanit,10.0,2365
HATCH,Bodily,1.0,3143
HATCH,Caden Lane,2.0,2457
HATCH,Dagne Dover,3.0,2170
HATCH,Tubby Todd Bath Co.,4.0,1381
HATCH,Lalo,5.0,1050
HATCH,True Botanicals,6.0,1000
HATCH,Monica & Andy Inc.,6.0,1000
HATCH,M.M.LaFleur,8.0,989
HATCH,Lunya,9.0,953
HATCH,Newton Baby,10.0,946
Kopari,Glamnetic,1.0,11074
Kopari,BlendJet,2.0,10540
Kopari,Laura Geller,3.0,4499
Kopari,Sol de Janeiro,4.0,3698
Kopari,Beachwaver,5.0,2485
Kopari,Caraway,6.0,2416
Kopari,For Days,7.0,1443
Kopari,LIVELY,8.0,1388
Kopari,Gibsonlook,9.0,1252
Kopari,Beekman 1802,10.0,1038
LIVELY,Sol de Janeiro,1.0,20473
LIVELY,Beachwaver,2.0,18803
LIVELY,Vegamour,3.0,13702
LIVELY,Dagne Dover,4.0,8988
LIVELY,Love in Faith,5.0,8535
LIVELY,SolaWave,6.0,8318
LIVELY,Viori Beauty,7.0,5223
LIVELY,UNTUCKit,8.0,3863
LIVELY,Liquid I.V.,9.0,2944
LIVELY,SPONGELLE,10.0,2840
Lunya,True Botanicals,1.0,8749
Lunya,Gibsonlook,2.0,2114
Lunya,HATCH,3.0,953
Lunya,Dagne Dover,4.0,768
Lunya,Dieux Skin,5.0,535
Lunya,ILIA,6.0,526
Lunya,Caraway,7.0,518
Lunya,Foria,8.0,494
Lunya,Dollar Shave Club,9.0,490
Lunya,Twillory,10.0,469
Snuggle Me Organic,Caden Lane,1.0,22568
Snuggle Me Organic,Dreamland Baby,2.0,15425
Snuggle Me Organic,Liquid I.V.,3.0,7940
Snuggle Me Organic,Solly Baby,4.0,5933
Snuggle Me Organic,Beachwaver,5.0,5138
Snuggle Me Organic,Tubby Todd Bath Co.,6.0,4820
Snuggle Me Organic,Nanit,7.0,2228
Snuggle Me Organic,Dagne Dover,8.0,2029
Snuggle Me Organic,Newton Baby,9.0,1857
Snuggle Me Organic,Tushbaby,10.0,1772
Sol de Janeiro,Beachwaver,1.0,149413
Sol de Janeiro,Love in Faith,2.0,63978
Sol de Janeiro,Laura Geller,3.0,41707
Sol de Janeiro,LIVELY,4.0,20473
Sol de Janeiro,Beyond Polish,5.0,17838
Sol de Janeiro,BlendJet,6.0,12166
Sol de Janeiro,Vegamour,7.0,11068
Sol de Janeiro,Glamnetic,8.0,9409
Sol de Janeiro,Dagne Dover,9.0,8523
Sol de Janeiro,Dr. Squatch,10.0,8044
Surely Wines,BlendJet,1.0,202
Surely Wines,Liquid I.V.,2.0,171
Surely Wines,Caden Lane,3.0,154
Surely Wines,UNTUCKit,4.0,112
Surely Wines,Ritual Zero Proof,5.0,107
Surely Wines,Caraway,6.0,59
Surely Wines,Hismile,7.0,58
Surely Wines,Dreamland Baby,8.0,40
Surely Wines,ILIA,9.0,38
Surely Wines,MANSCAPED,10.0,34
True Botanicals,Lunya,1.0,8749
True Botanicals,Gibsonlook,2.0,2105
True Botanicals,HATCH,3.0,1000
True Botanicals,Snuggle Me Organic,4.0,912
True Botanicals,Lollipetals,5.0,296
True Botanicals,UNTUCKit,6.0,151
True Botanicals,Nood,7.0,129
True Botanicals,Manduka,8.0,123
True Botanicals,Sol de Janeiro,9.0,114
True Botanicals,Solly Baby,10.0,102
Tubby Todd Bath Co.,Caden Lane,1.0,23008
Tubby Todd Bath Co.,Dreamland Baby,2.0,12002
Tubby Todd Bath Co.,Newton Baby,3.0,9665
Tubby Todd Bath Co.,Posh Peanut,4.0,7831
Tubby Todd Bath Co.,Snuggle Me Organic,5.0,4820
Tubby Todd Bath Co.,Beachwaver,6.0,4813
Tubby Todd Bath Co.,Nanit,7.0,4798
Tubby Todd Bath Co.,Tushbaby,8.0,4332
Tubby Todd Bath Co.,Dagne Dover,9.0,4083
Tubby Todd Bath Co.,Willow Pumps,10.0,2789
vitruvi,Caraway,1.0,283
vitruvi,ILIA,2.0,209
vitruvi,Dagne Dover,3.0,121
vitruvi,Vegamour,4.0,106
vitruvi,Lunya,5.0,75
vitruvi,Caden Lane,6.0,60
vitruvi,Afloral,7.0,55
vitruvi,HATCH,8.0,51
vitruvi,Branch,9.0,48
vitruvi,Jolie,10.0,45
