brand_name,publisher,publisher_rank,publisher_session_count
Blueland,Laura Geller,1,1538
Blueland,Reel Paper,2,1045
Blueland,Primally Pure,3,926
Blueland,Clevr Blends,4,733
Blueland,For Days,5,449
Blueland,Dr. Squatch,6,417
Blueland,Tubby Todd Bath Co.,7,357
Blueland,Ora Organic,8,233
Blueland,Bear Mattress,9,226
Blueland,Girlfriend Collective,10,201
Dreamland Baby,Tubby Todd Bath Co.,1,34503
Dreamland Baby,Dreamland Baby,2,8552
Dreamland Baby,Tushbaby,3,6268
Dreamland Baby,Love in Faith,4,3682
Dreamland Baby,Elevated Faith,5,1973
Dreamland Baby,ByHeart,6,1934
Dreamland Baby,Beginning Boutique,7,1908
Dreamland Baby,Dagne Dover,8,1594
Dreamland Baby,Serenity Kids,9,689
Dreamland Baby,Primally Pure,10,669
HATCH,Dreamland Baby,1,2707
HATCH,Tubby Todd Bath Co.,2,2492
HATCH,HATCH,3,1027
HATCH,Dagne Dover,4,974
HATCH,True Botanicals,5,965
HATCH,M.M.LaFleur,6,896
HATCH,woolino,7,777
HATCH,Tushbaby,8,762
HATCH,Solly Baby,9,718
HATCH,RAEN,10,698
Kopari,Love in Faith,1,20374
Kopari,Laura Geller,2,9735
Kopari,Kopari,3,1299
Kopari,Foria,4,527
Kopari,CoverFX,5,279
Kopari,Tubby Todd Bath Co.,6,199
Kopari,Carve Designs,7,165
Kopari,Julep,8,155
Kopari,Carbon38,9,148
Kopari,Dame,10,142
LIVELY,Laura Geller,1,49969
LIVELY,Sol de Janeiro,2,4744
LIVELY,Kopari,3,2837
LIVELY,Olive & June,4,2585
LIVELY,Kosas Cosmetics,5,2550
LIVELY,Dagne Dover,6,2418
LIVELY,Julep,7,2152
LIVELY,Love in Faith,8,1696
LIVELY,Curie,9,1406
LIVELY,Nood,10,1337
Lunya,True Botanicals,1,8714
Lunya,Dame,2,708
Lunya,Dollar Shave Club,3,498
Lunya,Dagne Dover,4,407
Lunya,Bala,5,385
Lunya,Crown Affair,6,379
Lunya,Foria,7,356
Lunya,Lunya,8,351
Lunya,RAEN,9,240
Lunya,ILIA,10,237
Snuggle Me Organic,Tubby Todd Bath Co.,1,32050
Snuggle Me Organic,Tushbaby,2,2673
Snuggle Me Organic,Primally Pure,3,1962
Snuggle Me Organic,Dagne Dover,4,1891
Snuggle Me Organic,Bodily,5,955
Snuggle Me Organic,True Botanicals,6,928
Snuggle Me Organic,Newton Baby,7,915
Snuggle Me Organic,ByHeart,8,777
Snuggle Me Organic,Lalo,9,577
Snuggle Me Organic,Gathre,10,530
Sol de Janeiro,Laura Geller,1,159235
Sol de Janeiro,Love in Faith,2,32994
Sol de Janeiro,Beginning Boutique,3,12012
Sol de Janeiro,Dagne Dover,4,7331
Sol de Janeiro,Sol de Janeiro,5,4806
Sol de Janeiro,Liquid I.V.,6,4207
Sol de Janeiro,Elevated Faith,7,3854
Sol de Janeiro,Tower 28 Beauty,8,3107
Sol de Janeiro,Beyond Polish,9,2968
Sol de Janeiro,Carve Designs,10,2924
Surely Wines,Ritual Zero Proof,1,545
Surely Wines,Dreamland Baby,2,149
Surely Wines,Tubby Todd Bath Co.,3,123
Surely Wines,Dagne Dover,4,39
Surely Wines,Tushbaby,5,29
Surely Wines,Surely Wines,6,25
Surely Wines,ByHeart,7,22
Surely Wines,Blueland,8,20
Surely Wines,Willow Pumps,9,20
Surely Wines,Caden Lane,10,17
True Botanicals,True Botanicals,1,10089
True Botanicals,Laura Geller,2,146
True Botanicals,RAEN,3,65
True Botanicals,Crown Affair,4,60
True Botanicals,SolaWave,5,16
True Botanicals,CoverFX,6,15
True Botanicals,Lalo,7,10
True Botanicals,Carve Designs,8,10
True Botanicals,Faherty Brand,9,10
True Botanicals,woolino,10,10
Tubby Todd Bath Co.,Dreamland Baby,1,31142
Tubby Todd Bath Co.,Tushbaby,2,14168
Tubby Todd Bath Co.,Caden Lane,3,10442
Tubby Todd Bath Co.,Posh Peanut,4,7074
Tubby Todd Bath Co.,Snuggle Me Organic,5,6564
Tubby Todd Bath Co.,Dagne Dover,6,4467
Tubby Todd Bath Co.,Bodily,7,3231
Tubby Todd Bath Co.,ByHeart,8,2846
Tubby Todd Bath Co.,Newton Baby,9,2443
Tubby Todd Bath Co.,Serenity Kids,10,2311
vitruvi,Primally Pure,1,108
vitruvi,Dagne Dover,2,82
vitruvi,Tubby Todd Bath Co.,3,80
vitruvi,Dreamland Baby,4,74
vitruvi,Jolie,5,70
vitruvi,ILIA,6,66
vitruvi,Laura Geller,7,51
vitruvi,Afloral,8,48
vitruvi,jane iredale,9,37
vitruvi,RAEN,10,33
