CONVERSION_DATE,ORDER_BRAND_NAME,DELTA_CONVERSION_COUNT,DELTA_REVENUE
2024-03-01T00:00:00.000Z,"Ancient Nutrition",7,-85.00
2024-03-01T00:00:00.000Z,Beachwaver,7,-970.00
2024-03-01T00:00:00.000Z,"Beekman 1802",-5,-175.00
2024-03-01T00:00:00.000Z,"Beyond Polish",0,-88.00
2024-03-01T00:00:00.000Z,BlendJet,83,425.00
2024-03-01T00:00:00.000Z,Bodily,4,-1056.00
2024-03-01T00:00:00.000Z,"Buffbunny Collection",16,-104.00
2024-03-01T00:00:00.000Z,"Caden Lane",2,-2032.00
2024-03-01T00:00:00.000Z,Canopy,-16,-285.00
2024-03-01T00:00:00.000Z,Caraway,16,-650.00
2024-03-01T00:00:00.000Z,"Dagne Dover",10,-390.00
2024-03-01T00:00:00.000Z,"Dollar Shave Club",-9,-445.00
2024-03-01T00:00:00.000Z,"Dreamland Baby",1,0.00
2024-03-01T00:00:00.000Z,Ekster,1,-110.00
2024-03-01T00:00:00.000Z,"For Days",-2,-444.00
2024-03-01T00:00:00.000Z,Gibsonlook,1,-82.00
2024-03-01T00:00:00.000Z,Glamnetic,-1,-630.00
2024-03-01T00:00:00.000Z,Hismile,0,-120.00
2024-03-01T00:00:00.000Z,ILIA,4,80.00
2024-03-01T00:00:00.000Z,Julep,2,-150.00
2024-03-01T00:00:00.000Z,Kopari,5,70.00
2024-03-01T00:00:00.000Z,LIVELY,5,-380.00
2024-03-01T00:00:00.000Z,Lalo,-1,-500.00
2024-03-01T00:00:00.000Z,"Laura Geller",11,-4125.00
2024-03-01T00:00:00.000Z,Licorice,-1,-375.00
2024-03-01T00:00:00.000Z,"Liquid I.V.",-26,-2520.00
2024-03-01T00:00:00.000Z,"Little Words Project",12,-15.00
2024-03-01T00:00:00.000Z,"Love in Faith",-10,-618.00
2024-03-01T00:00:00.000Z,MANSCAPED,0,0.00
2024-03-01T00:00:00.000Z,MantraBand,-1,15.00
2024-03-01T00:00:00.000Z,Morphe,0,-60.00
2024-03-01T00:00:00.000Z,Nanit,0,-850.00
2024-03-01T00:00:00.000Z,"Newton Baby",10,-156.00
2024-03-01T00:00:00.000Z,QALO,6,-2.62
2024-03-01T00:00:00.000Z,"Snuggle Me Organic",1,-130.00
2024-03-01T00:00:00.000Z,"Sol de Janeiro",11,0.00
2024-03-01T00:00:00.000Z,SolaWave,-14,-380.00
2024-03-01T00:00:00.000Z,"Solly Baby",2,-72.00
2024-03-01T00:00:00.000Z,"Sunday Citizen",3,110.00
2024-03-01T00:00:00.000Z,"Tubby Todd Bath Co.",1,-2190.00
2024-03-01T00:00:00.000Z,"Tula Skincare",-2,-850.00
2024-03-01T00:00:00.000Z,Tushbaby,0,-364.00
2024-03-01T00:00:00.000Z,Twillory,9,-95.00
2024-03-01T00:00:00.000Z,UNTUCKit,5,-480.00
2024-03-01T00:00:00.000Z,Vegamour,-68,-3700.00
2024-03-01T00:00:00.000Z,"Viori Beauty",-47,-572.00
2024-03-01T00:00:00.000Z,"Willow Pumps",4,-240.00
2024-03-01T00:00:00.000Z,"Wolf & Shepherd",12,-625.00
